target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
throughput_1,12,markov,classic_quantile,bic,0.9972273567467652,0.8573827138081576,12.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",4.678000698098913,
throughput_1,12,markov,classic_quantile,aic,0.6654343807763401,0.4302722847628961,12.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.09168082405813,
throughput_1,12,markov,kmeans,bic,0.0,0.1447759492559736,13.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.242011052905582,
throughput_1,12,markov,kmeans,aic,0.33271719038817005,0.22910323777678993,13.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.588355566957034,
throughput_1,12,markov,dbscan,bic,0.33271719038817005,0.35085496891452594,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'buffer_size_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",4.404657103004865,
throughput_1,12,markov,dbscan,aic,0.33271719038817005,0.059547352421753894,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'buffer_size_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",4.777148288092576,
throughput_1,12,mrmr,classic_uniform,bic,0.33271719038817005,0.41746917309129405,13.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'cores_3', 'avg_p_latency_2', 'throughput_1']",12.959858134039678,
throughput_1,12,mrmr,classic_uniform,aic,0.6654343807763401,0.663639654608704,13.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'cores_3', 'avg_p_latency_2', 'throughput_1']",13.139688626979478,
throughput_1,12,mrmr,classic_quantile,bic,0.9972273567467652,0.7185205202632363,11.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'avg_p_latency_2', 'throughput_1']",13.230284975026734,
throughput_1,12,mrmr,classic_quantile,aic,0.9972273567467652,0.5512870948794528,11.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'avg_p_latency_2', 'throughput_1']",13.30264518095646,
throughput_1,12,mrmr,kmeans,bic,0.333641404805915,0.2570975095908877,13.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'cores_3', 'avg_p_latency_2', 'throughput_1']",13.132519665057771,
throughput_1,12,mrmr,kmeans,aic,0.333641404805915,0.28822532688397995,13.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'cores_3', 'avg_p_latency_2', 'throughput_1']",13.614345032954589,
throughput_1,12,mrmr,dbscan,bic,0.33271719038817005,0.3459955084248185,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'buffer_size_3', 'cores_3', 'avg_p_latency_2', 'throughput_1']",13.052900479990058,
throughput_1,12,mrmr,dbscan,aic,0.33271719038817005,0.35270659461988857,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'buffer_size_3', 'cores_3', 'avg_p_latency_2', 'throughput_1']",13.09568348294124,
