variable,variable_state,prob,data_quality,avg_p_latency,container_last_seen,cores,container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total,container_memory_max_usage_bytes,container_cpu_cfs_periods_total,container_memory_cache,container_cpu_cfs_throttled_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,throughput,container_spec_cpu_quota
container_cpu_system_seconds_total,0,0.02824858757062147,0.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.2570621468926554,0.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.7146892655367232,0.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.6626016260162602,1.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.33333333333333337,1.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.0040650406504065045,1.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.029752637951911437,2.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.5902093063483826,2.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.38003805569970595,2.0,,,,,,,1.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.002079434393844874,0.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.7095030151798711,0.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.28841755042628403,0.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.5791230465786679,1.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.4193597329692004,1.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.0015172204521316948,1.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.41385964912280704,2.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.5843859649122807,2.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.0017543859649122807,2.0,,,,,,,2.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.3333333333333333,0.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.3333333333333333,0.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.3333333333333333,0.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.9948953547728433,1.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.002552322613578356,1.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.002552322613578356,1.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.7197075750505522,2.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.27873697309068285,2.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.0015554518587649713,2.0,,,,,,,2.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.09009009009009009,0.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.09009009009009009,0.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.8198198198198199,0.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.7678160919540231,1.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.20919540229885064,1.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.02298850574712644,1.0,,,,,,,2.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.0016380016380016379,2.0,,,,,,,2.0,2.0,,,,,
