K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
12,mrmr,kmeans,bic,0.18,0.18109477915199554,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.083928917000037,
12,mrmr,kmeans,aic,0.18,0.2656313510276763,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.243619333999959,
12,mrmr,dbscan,bic,0.0,0.029459059610466267,7.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",5.674430749999999,
12,mrmr,dbscan,aic,0.0,0.030419882280306676,7.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",5.808774583000002,
12,pca,classic_uniform,bic,0.568,0.4231381813201646,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",0.8953444169999898,
12,pca,classic_uniform,aic,0.48,0.37431698183558826,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",1.2626786249999782,
12,pca,classic_quantile,bic,0.404,0.4647556339056954,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",1.0411974579999992,
12,pca,classic_quantile,aic,0.016,0.32904240578148836,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",1.8408663339999976,
12,pca,kmeans,bic,0.12,0.1671192002226737,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",0.9281068750000259,
12,pca,kmeans,aic,0.388,0.3392554355050238,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput']",1.2576856670000325,
12,pca,dbscan,bic,,,,,0.04951408400000901,The node throughput_t1 is not in the digraph.
